"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1497859849.88967","1671819990.6471","1810502720.98782","1988839272.09568","2197955100.44382","2301201474.40706","2371124240.98281","2581983077.36963","2663055513.56209","2734950490.76106","3009056282.39908","2983689819.07785","2931664257.57647","3045100030.50572","3374481585.3785","3521849159.20838","3666548022.6014","3832820981.69783","3903830107.91135","3519787115.7495","3429584867.40976","3621879746.15775","3640775603.08079","3860198723.15567","3966592233.01628","3990944634.04209","4026064568.39126","4157176526.75385","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18973027428.9204","21032245383.4345","21903906005.1765","25122565906.2941","27269473533.6281","31873654690.3993","33769009351.6611","41304884284.2472","47787706703.8262","48993947132.3455","56301250158.2788","60497916496.452","63321947173.1465","64927903090.0491","67121529135.1582","70220349482.2538","72544086003.9124",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36607761178.2661","38220933544.1289","36809655605.7386","28644401034.3311","29647912555.0168","34810016153.2004","40248524979.8941","43920842825.1027","46498762066.7602","48199123943.5238","50781818083.0362","54078410873.6754","62440884508.6528","65502029873.7582","74632978885.6763","88523668697.0292","101734360611.809","119103107110.73","134977724461.158","137174634048.902","145516350037.762","153713884832.921","170044174088.418","181601150055.922","193960480631.818","197884315352.162","194886791771.541","198298815204.036","198444945931.76",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8378950164.17247","6236674649.63754","5920351121.9376","6639980529.91628","7344850516.86595","8497882715.49356","9440948344.14953","8555019546.66517","9451335237.27792","10792597200.4896","11927765514.6466","13162883698.2089","14221891223.1718","15181419279.0283","16414419614.8156","17663293360.652","19630459705.7271","21610743514.1622","24251601693.9206","25805493327.0662","28046618670.8842","29655509256.2882","30530304271.2773","30604056299.1546","32529083192.6275","33594857435.5435","34134078384.7583","37154193489.6763","38196049979.188",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1515388141372.77","1571404153749.06","1689606498692.01","1783729170196.35","1875862063038.89","1966883874901.04","2095543196324.15","2222961948807.33","2379507944872.5","2469590706362.34","2657492980549.94","2764008462039.98","2823115684290.3","3003104844893.68","3367563016629.27","3667758539989.1","4011421557270","4306852620168.48","4648457210888.67","4727393259832.36","5013013110908.05","5271768173086.6","5727911737783.33","6007505655069.3","6265279863331.67","6534740076052.82","6832464380476.54","7044348377646.28","7370604523099.49",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133304614394.706","138997952482.915","146920949014.852","152298773460.239","166277952231.55","181118178702.291","195128766453.464","214750962448.634","217802146778.973","227359129263.127","257667892893.432","267003711497.487","277827271222.363","307891155940.619","346427421191.593","374561895048.593","423858817031.968","449104740975.911","472453936481.872","451096460997.231","463667334145.556","506157540235.955","538999488458.333","576173978835.588","612898193551.161","650825572755.7","677604745157.982","695942096146.1","721770277976.406",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240729396544.62","271599874095.087","299838339891.976","332133045005.621","359023215317.495","356122172793.749","382685026773.306","420859021569.375","441982078251.951","433184279277.461","439373779144.383","429214934742.506","388503697516.285","430688393489.907","482219745926.983","541254661021.76","602507798387.47","674422528859.715","715436074021.482","678224133527.444","755600249124.775","817697534663.575","824825758610.518","859488656419.021","853745037709.565","886440970477.029","877491893834.213","918032825601.31","915131850723.493",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8592656883.2411","7843900652.71508","4669185549.62412","4359188274.97471","4692696345.07621","5121679698.07101","5521366818.33201","5803107765.50327","6296817802.29052","6598526611.70688","7144051049.77454","7998457025.65165","9196357104.90186","10682363452.0032","12118272912.295","14228374757.9242","16593643826.7541","19382176255.6758","21122568893.0934","18271970265.82","18891551957.5466","20192628679.6198","22061645091.1683","23189619051.7052","24478961727.2213","25532428677.3212","25863255540.682","28331472879.6643","30476895725.9258",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
